15,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,0,2658,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,11
14,0,0,1778,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,3943,0,0,27,25,4,0,3,9,0,0,0,0,0,0,4,2,3,1,1,0,5
6,3,1,1,0,3600,0,8,0,6,14,2,1,0,20,19,0,21,0,0,3,1,2,2,3,16
24,5,0,0,0,0,4948,11,1,0,0,0,0,0,8,0,0,0,2,139,0,0,1,3,1,4
21,1,2,1,0,2,7,70986,15,69,5,11,1,6,3,0,87,6,19,27,24,18,15,297,1136,1247
32,0,0,0,13,0,0,31,7146,3,0,33,9,0,0,0,0,0,0,0,156,8,0,0,2,65
19,0,0,0,0,2,0,25,20,3176,0,3,0,1,0,0,87,2,0,0,2,3,0,1,4,14
9,0,0,0,0,0,1,1,0,0,1908,0,0,0,57,1,0,7,1,10,0,2,18,3,0,13
31,0,1,0,5,2,0,6,12,1,0,3603,11,0,2,0,0,12,0,2,20,109,4,2,0,35
30,0,0,0,16,0,0,8,52,0,0,932,15120,2,0,0,0,0,1,0,292,23,0,0,0,12
16,0,0,106,0,0,0,0,0,1,0,0,0,1237,0,0,13,0,0,1,0,0,0,1,0,0
8,0,0,0,0,0,0,0,0,0,98,1,0,0,966,0,0,4,0,2,0,0,8,0,0,2
4,0,0,0,0,16,0,0,0,0,4,0,0,0,2,324,0,8,1,2,0,0,1,3,0,8
18,0,0,3,0,0,0,13,0,397,0,1,0,0,0,0,416,0,0,0,0,0,0,0,3,0
7,0,6,0,0,21,0,0,0,0,446,0,0,0,1,373,0,617,0,0,1,0,3,0,0,3
23,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,0
25,1,0,0,0,0,10,0,0,0,5,0,0,0,1138,0,1,0,1,185,0,0,125,1,0,3
29,0,0,0,7,0,0,5,120,0,0,24,6061,0,0,0,0,1,0,0,192,3,0,0,0,7
11,0,0,0,0,641,0,1,1,1,0,13,0,0,0,2,0,9,0,0,0,5,1,0,1,11
10,0,0,0,0,15,0,0,0,0,4,3,0,0,1,0,0,374,0,0,1,3,2,1,1,3
12,0,14,0,0,3,0,33,12,1,3,20,3,2,3,2,5,66,33,21,75,43,27,43,18,14473
27,0,0,0,10,0,0,0,0,0,0,1,609,0,0,0,0,0,0,0,6,1,0,0,0,0
17,0,0,4,1,0,0,1,0,346,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1
0,94,221,112,123,162,233,2782,905,240,299,1311,350,75,302,59,162,838,2517,2154,5893,3077,2454,2488,1842,0
0,29,54,55,14,2,48,6,11,8,40,10,16,23,13,1,7,36,12,24,60,3,17,4,62,0
